 16COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 17COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x70, 0x02, 0x00, 0x00, 0x00, 0x0
 18COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xB0, 0x02, 0x00, 0x00, 0x00, 0x0
 19COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x30, 0x02, 0x00, 0x00, 0x00, 0x0
 20COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xD0, 0x02, 0x00, 0x00, 0x00, 0x0
 21COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x50, 0x02, 0x00, 0x00, 0x00, 0x0
 22COOL       AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x90, 0x02, 0x00, 0x00, 0x00, 0x0
 23COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x10, 0x02, 0x00, 0x00, 0x00, 0x0
 24COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xE0, 0x02, 0x00, 0x00, 0x00, 0x0
 25COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x60, 0x02, 0x00, 0x00, 0x00, 0x0
 26COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xA0, 0x02, 0x00, 0x00, 0x00, 0x0
 27COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x20, 0x02, 0x00, 0x00, 0x00, 0x0
 28COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x0
 29COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x40, 0x02, 0x00, 0x00, 0x00, 0x0
 30COOL       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xC0, 0x80, 0x02, 0x00, 0x00, 0x00, 0x0
-  AUTO       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x10, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
-  FAN_ONLY   AUTO    ON   0x64, 0x80, 0x00, 0x24, 0xE0, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
-  DRY        AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x40, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 16HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 17HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x70, 0x02, 0x00, 0x00, 0x00, 0x0
 18HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xB0, 0x02, 0x00, 0x00, 0x00, 0x0
 19HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x30, 0x02, 0x00, 0x00, 0x00, 0x0
 20HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xD0, 0x02, 0x00, 0x00, 0x00, 0x0
 21HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x50, 0x02, 0x00, 0x00, 0x00, 0x0
 22HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x90, 0x02, 0x00, 0x00, 0x00, 0x0
 23HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x10, 0x02, 0x00, 0x00, 0x00, 0x0
 24HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xE0, 0x02, 0x00, 0x00, 0x00, 0x0
 25HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x60, 0x02, 0x00, 0x00, 0x00, 0x0
 26HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xA0, 0x02, 0x00, 0x00, 0x00, 0x0
 27HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x20, 0x02, 0x00, 0x00, 0x00, 0x0
 28HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x0
 29HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x40, 0x02, 0x00, 0x00, 0x00, 0x0
 30HEAT       AUTO    ON   0x64, 0x80, 0x00, 0x24, 0x80, 0x80, 0x02, 0x00, 0x00, 0x00, 0x0
 16OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 17OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x70, 0x02, 0x00, 0x00, 0x00, 0x0
 18OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xB0, 0x02, 0x00, 0x00, 0x00, 0x0
 19OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x30, 0x02, 0x00, 0x00, 0x00, 0x0
 20OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xD0, 0x02, 0x00, 0x00, 0x00, 0x0
 21OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x50, 0x02, 0x00, 0x00, 0x00, 0x0
 22OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x90, 0x02, 0x00, 0x00, 0x00, 0x0
 23OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x10, 0x02, 0x00, 0x00, 0x00, 0x0
 24OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xE0, 0x02, 0x00, 0x00, 0x00, 0x0
 25OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x60, 0x02, 0x00, 0x00, 0x00, 0x0
 26OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xA0, 0x02, 0x00, 0x00, 0x00, 0x0
 27OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x20, 0x02, 0x00, 0x00, 0x00, 0x0
 28OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x0
 29OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x40, 0x02, 0x00, 0x00, 0x00, 0x0
 30OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xC0, 0x80, 0x02, 0x00, 0x00, 0x00, 0x0
-  OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x10, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
-  OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0xE0, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
-  OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x40, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 16OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xF0, 0x02, 0x00, 0x00, 0x00, 0x0
 17OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x70, 0x02, 0x00, 0x00, 0x00, 0x0
 18OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xB0, 0x02, 0x00, 0x00, 0x00, 0x0
 19OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x30, 0x02, 0x00, 0x00, 0x00, 0x0
 20OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xD0, 0x02, 0x00, 0x00, 0x00, 0x0
 21OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x50, 0x02, 0x00, 0x00, 0x00, 0x0
 22OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x90, 0x02, 0x00, 0x00, 0x00, 0x0
 23OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x10, 0x02, 0x00, 0x00, 0x00, 0x0
 24OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xE0, 0x02, 0x00, 0x00, 0x00, 0x0
 25OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x60, 0x02, 0x00, 0x00, 0x00, 0x0
 26OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xA0, 0x02, 0x00, 0x00, 0x00, 0x0
 27OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x20, 0x02, 0x00, 0x00, 0x00, 0x0
 28OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x0
 29OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x40, 0x02, 0x00, 0x00, 0x00, 0x0
 30OFF        AUTO    ON   0x64, 0x80, 0x00, 0x04, 0x80, 0x80, 0x02, 0x00, 0x00, 0x00, 0x0
 16COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x00, 0x00, 0x00, 0x00, 0x0
 17COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x00, 0x00, 0x00, 0x00, 0x0
 18COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x00, 0x00, 0x00, 0x00, 0x0
 19COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x00, 0x00, 0x00, 0x00, 0x0
 20COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x00, 0x00, 0x00, 0x00, 0x0
 21COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x00, 0x00, 0x00, 0x00, 0x0
 22COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x00, 0x00, 0x00, 0x00, 0x0
 23COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x00, 0x00, 0x00, 0x00, 0x0
 24COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x00, 0x00, 0x00, 0x00, 0x0
 25COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x00, 0x00, 0x00, 0x00, 0x0
 26COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x00, 0x00, 0x00, 0x00, 0x0
 27COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x00, 0x00, 0x00, 0x00, 0x0
 28COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x00, 0x00, 0x00, 0x00, 0x0
 29COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x00, 0x00, 0x00, 0x00, 0x0
 30COOL       AUTO    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x00, 0x00, 0x00, 0x00, 0x0
 16COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x40, 0x00, 0x00, 0x00, 0x0
 17COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x40, 0x00, 0x00, 0x00, 0x0
 18COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x40, 0x00, 0x00, 0x00, 0x0
 19COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x40, 0x00, 0x00, 0x00, 0x0
 20COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x40, 0x00, 0x00, 0x00, 0x0
 21COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x40, 0x00, 0x00, 0x00, 0x0
 22COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x40, 0x00, 0x00, 0x00, 0x0
 23COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x40, 0x00, 0x00, 0x00, 0x0
 24COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x40, 0x00, 0x00, 0x00, 0x0
 25COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x40, 0x00, 0x00, 0x00, 0x0
 26COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x40, 0x00, 0x00, 0x00, 0x0
 27COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x40, 0x00, 0x00, 0x00, 0x0
 28COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x40, 0x00, 0x00, 0x00, 0x0
 29COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x40, 0x00, 0x00, 0x00, 0x0
 30COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x40, 0x00, 0x00, 0x00, 0x0
 16COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xC0, 0x00, 0x00, 0x00, 0x0
 17COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xC0, 0x00, 0x00, 0x00, 0x0
 18COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xC0, 0x00, 0x00, 0x00, 0x0
 19COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xC0, 0x00, 0x00, 0x00, 0x0
 20COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xC0, 0x00, 0x00, 0x00, 0x0
 21COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xC0, 0x00, 0x00, 0x00, 0x0
 22COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xC0, 0x00, 0x00, 0x00, 0x0
 23COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xC0, 0x00, 0x00, 0x00, 0x0
 24COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xC0, 0x00, 0x00, 0x00, 0x0
 25COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xC0, 0x00, 0x00, 0x00, 0x0
 26COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xC0, 0x00, 0x00, 0x00, 0x0
 27COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xC0, 0x00, 0x00, 0x00, 0x0
 28COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xC0, 0x00, 0x00, 0x00, 0x0
 29COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xC0, 0x00, 0x00, 0x00, 0x0
 30COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xC0, 0x00, 0x00, 0x00, 0x0
 16COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xA0, 0x00, 0x00, 0x00, 0x0
 17COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xA0, 0x00, 0x00, 0x00, 0x0
 18COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xA0, 0x00, 0x00, 0x00, 0x0
 19COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xA0, 0x00, 0x00, 0x00, 0x0
 20COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xA0, 0x00, 0x00, 0x00, 0x0
 21COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0xA0, 0x00, 0x00, 0x00, 0x0
 22COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0xA0, 0x00, 0x00, 0x00, 0x0
 23COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0xA0, 0x00, 0x00, 0x00, 0x0
 24COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xA0, 0x00, 0x00, 0x00, 0x0
 25COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xA0, 0x00, 0x00, 0x00, 0x0
 26COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xA0, 0x00, 0x00, 0x00, 0x0
 27COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xA0, 0x00, 0x00, 0x00, 0x0
 28COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xA0, 0x00, 0x00, 0x00, 0x0
 29COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xA0, 0x00, 0x00, 0x00, 0x0
 30COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xA0, 0x00, 0x00, 0x00, 0x0
 16COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x1C, 0x00, 0x00, 0x00, 0x0
 17COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x1C, 0x00, 0x00, 0x00, 0x0
 18COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x1C, 0x00, 0x00, 0x00, 0x0
 19COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x1C, 0x00, 0x00, 0x00, 0x0
 20COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x1C, 0x00, 0x00, 0x00, 0x0
 21COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x1C, 0x00, 0x00, 0x00, 0x0
 22COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x1C, 0x00, 0x00, 0x00, 0x0
 23COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x1C, 0x00, 0x00, 0x00, 0x0
 24COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x1C, 0x00, 0x00, 0x00, 0x0
 25COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x1C, 0x00, 0x00, 0x00, 0x0
 26COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x1C, 0x00, 0x00, 0x00, 0x0
 27COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x1C, 0x00, 0x00, 0x00, 0x0
 28COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x1C, 0x00, 0x00, 0x00, 0x0
 29COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x1C, 0x00, 0x00, 0x00, 0x0
 30COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x1C, 0x00, 0x00, 0x00, 0x0
 16COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x5C, 0x00, 0x00, 0x00, 0x0
 17COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x5C, 0x00, 0x00, 0x00, 0x0
 18COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x5C, 0x00, 0x00, 0x00, 0x0
 19COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x5C, 0x00, 0x00, 0x00, 0x0
 20COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x5C, 0x00, 0x00, 0x00, 0x0
 21COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x5C, 0x00, 0x00, 0x00, 0x0
 22COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x5C, 0x00, 0x00, 0x00, 0x0
 23COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x5C, 0x00, 0x00, 0x00, 0x0
 24COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x5C, 0x00, 0x00, 0x00, 0x0
 25COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x5C, 0x00, 0x00, 0x00, 0x0
 26COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x5C, 0x00, 0x00, 0x00, 0x0
 27COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x5C, 0x00, 0x00, 0x00, 0x0
 28COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x5C, 0x00, 0x00, 0x00, 0x0
 29COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x5C, 0x00, 0x00, 0x00, 0x0
 30COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x5C, 0x00, 0x00, 0x00, 0x0
 16COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xDC, 0x00, 0x00, 0x00, 0x0
 17COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xDC, 0x00, 0x00, 0x00, 0x0
 18COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xDC, 0x00, 0x00, 0x00, 0x0
